ID,鉄道事業者名,鉄道駅の名称,路線名,都道府県,市,段差への対応,プラットホームの数,段差が解消されているプラットホームの数,エレベーターの設置基数,移動等円滑化基準に適合しているエレベーターの設置基数,エスカレーターの設置基数,移動等円滑化基準に適合しているエスカレーターの設置基数,その他の昇降機の設置基数,傾斜路の設置箇所数,移動等円滑化基準に適合している傾斜路の設置箇所数,視覚障害者誘導用ブロックの設置の有無,案内設備の設置の有無,障害者対応型便所の設置の有無,障害者対応型改札口の設置の有無,障害者対応型券売機の設置の有無,車いす使用者の円滑な乗降が可能なプラットホームの数,転落防止のための設備の設置の有無
1,JR東日本,東京,東海道本・山手・中央本・総武・京葉・横須賀・京浜東北・東北新幹・上越新幹・北陸新幹・山形新幹・秋田新幹,東京都,千代田区,1,11,11,30,22,128,2,3,6,3,1,3,1,1,1,3,1
2,JR東日本,東京（新幹線）,東北新幹・上越新幹・北陸新幹・山形新幹・秋田新幹,東京都,千代田区,1,2,2,6,4,7,3,3,3,3,1,1,1,1,1,3,1
3,JR東日本,有楽町,東海道本・山手・京浜東北,東京都,千代田区,1,2,2,2,2,4,2,3,3,3,1,1,1,1,1,3,1
4,JR東日本,新橋,東海道本・山手・京浜東北・横須賀,東京都,港区,1,4,4,5,5,20,6,3,1,1,1,1,1,1,1,3,1
5,JR東日本,浜松町,東海道本・山手・京浜東北,東京都,港区,1,2,2,2,2,7,1,2,1,3,1,1,1,1,1,3,1
6,JR東日本,田町,東海道本・山手・京浜東北,東京都,港区,1,2,2,2,2,8,3,3,3,3,1,1,1,1,1,3,1
7,JR東日本,品川,東海道本・山手・京浜東北・横須賀,東京都,港区,1,8,8,10,9,23,3,3,3,3,1,1,1,1,1,3,1
8,JR東日本,大井町,東海道本・京浜東北,東京都,品川区,1,1,1,2,1,5,1,3,3,3,1,1,1,1,1,3,1
9,JR東日本,大森,東海道本・京浜東北,東京都,大田区,1,1,1,1,1,2,1,3,1,3,1,1,1,1,1,3,1
10,JR東日本,蒲田,東海道本・京浜東北,東京都,大田区,1,2,2,2,2,8,2,3,1,3,1,1,1,1,1,3,1
11,JR東日本,西大井,横須賀,東京都,品川区,1,2,2,2,2,4,2,3,3,3,1,1,3,1,1,3,1
12,JR東日本,池袋,山手・埼京,東京都,豊島区,1,4,4,4,4,8,8,1,1,3,1,1,1,1,1,3,1
13,JR東日本,大塚,山手,東京都,豊島区,1,1,1,1,1,2,3,3,3,3,1,1,1,1,1,3,1
14,JR東日本,巣鴨,山手,東京都,豊島区,1,1,1,1,1,2,2,3,3,3,1,1,1,1,1,3,1
